,mjd,ra_deg,dec_deg,ra_sigma_arcsec,dec_sigma_arcsec,mag,mag_sigma,filter,obscode,exposure_id,exposure_mjd_start,exposure_mjd_mid,exposure_duration,observation_id,healpix_id,pred_ra_deg,pred_dec_deg,pred_vra_degpday,pred_vdec_degpday,delta_ra_arcsec,delta_dec_arcsec,distance_arcsec,dataset_id
0,58352.39660881088,11.3591982,-8.1379792,,,20.25716209411621,0.19223354756832123,g,I41,ztf_exp_58352.39661,58352.39643519977,58352.39660881088,30.0,598396434015015002,4698431746,11.35897640552328,-8.138013580012476,-0.09207569939853544,-0.022099633826388368,-0.7984601161943772,-0.12376804491367466,0.8000510662845033,ztf
1,58367.37490741118,9.2236062,-8.5633906,,,19.544174194335938,0.1356416940689087,r,I41,ztf_exp_58367.37491,58367.37473380007,58367.37490741118,30.0,613374734515015024,4520727340,9.223587463879038,-8.563382250676169,-0.21028321041692105,-0.0313643944361418,-0.06745003546413386,0.030057565793129015,0.07315799178534055,ztf
2,58367.43660881092,9.2106374,-8.5652635,,,19.864151000976562,0.194469153881073,g,I41,ztf_exp_58367.43661,58367.43643519981,58367.43660881092,30.0,613436434515015008,4520727257,9.210604177319077,-8.565296548188165,-0.21028575677134884,-0.030700612411999124,-0.11960165132194334,-0.11897347739306952,0.1677555960636443,ztf
3,58369.3282060111,8.8236897,-8.6236701,,,19.809701919555664,0.1566007137298584,g,I41,ztf_exp_58369.32821,58369.32803239999,58369.3282060111,30.0,615328033215015021,4520805565,8.823631166169301,-8.623682349846947,-0.22198861688916258,-0.03109445645064307,-0.21072179051273565,-0.04409944900771734,0.21295562628220677,ztf
4,58369.415740711156,8.8041915,-8.6263668,,,19.483251571655273,0.11680244654417038,r,I41,ztf_exp_58369.41574,58369.41556710005,58369.415740711156,30.0,615415563215015019,4520805237,8.804128821860175,-8.626361643975368,-0.22303180696491207,-0.030124303769789963,-0.22564130336988342,0.018561688672491528,0.22385959290207977,ztf
5,58370.39256941109,8.5948918,-8.6558578,,,20.066516876220703,0.20780248939990997,g,I41,ztf_exp_58370.39257,58370.39239579998,58370.39256941109,30.0,616392394515015013,4520636980,8.594846285134217,-8.6558481971756,-0.2289728252410304,-0.029780695597148004,-0.1638535168154931,0.034570167841962984,0.16563503602585888,ztf
6,58370.437812510885,8.5845628,-8.6572042,,,19.531038284301758,0.13906943798065186,r,I41,ztf_exp_58370.43781,58370.43763889978,58370.437812510885,30.0,616437634515015019,4520636974,8.584493601238066,-8.657183816089246,-0.2285323259002214,-0.02927429290523161,-0.2491155429652281,0.07338207871754321,0.25697748045962776,ztf
7,58372.35746531096,8.1575718,-8.7131748,,,19.35984992980957,0.1120348647236824,r,I41,ztf_exp_58372.35747,58372.35729169985,58372.35746531096,30.0,618357293215015021,4520649437,8.157544436466207,-8.71318108055656,-0.2395737287817767,-0.028570699368734184,-0.09850872165344526,-0.022610003610168405,0.09996242987814785,ztf
8,58372.40254631127,8.1466877,-8.7144194,,,19.77755355834961,0.14029671251773834,g,I41,ztf_exp_58372.40255,58372.40237270016,58372.40254631127,30.0,618402373215015015,4520649452,8.146738185474787,-8.714456915477372,-0.23969400717642614,-0.028038531332788733,0.18174770923451433,-0.13505571853826837,0.22475322854878318,ztf
9,58375.31245371095,7.4638489,-8.7924737,,,19.75529670715332,0.12414935231208801,g,I41,ztf_exp_58375.31245,58375.31228009984,58375.31245371095,30.0,621312283315015009,4520271650,7.463767368531992,-8.792464756591768,-0.2525347594710696,-0.025671983666433928,-0.2935132848289612,0.03219626963755218,0.2918454341503148,ztf
10,58375.35488421098,7.4531044,-8.7935262,,,19.414161682128906,0.10541694611310959,r,I41,ztf_exp_58375.35488,58375.35471059987,58375.35488421098,30.0,621354713315015014,4520271570,7.453032856771321,-8.793543112549827,-0.25331511903199266,-0.025157262973369097,-0.2575556232446985,-0.06088517937499205,0.2617090378680152,ztf
11,58378.382523111075,6.704449,-8.8627812,,,19.1760311126709,0.08484252542257309,r,I41,ztf_exp_58378.38252,58378.38234949997,58378.382523111075,30.0,624382343615015024,4520332788,6.704419226185497,-8.86278141731025,-0.26368960136665714,-0.020197292675844067,-0.1071857322131109,-0.0007823168992615592,0.10590884064003839,ztf
12,58388.29104171089,4.1255452,-8.966204,,,19.290895462036133,0.1344754546880722,r,I41,ztf_exp_58388.29104,58388.29086809978,58388.29104171089,30.0,634290864215015000,4523449503,4.125634764272608,-8.966103012713928,-0.2738210324008126,0.0008830418566688167,0.3224313813863233,0.3635542298567884,0.48333061770830116,ztf
